1,1,1801,Giuseppe Piazzi discovered 1st asteroidlater named Ceres
1,1,1801,United Kingdom of Great Britain & Ireland established
1,1,1804,Haiti gains its independence
1,1,1863,Emancipation Proclamation issued by Lincoln.
1,1,1892,Brooklyn merges with NY to form present City of NY Ellis Island became reception center for new immigrants
1,1,1901,Commonwealth of Australia established
1,1,1902,first Rose Bowl game held in PasadenaCalifornia.
1,1,1912,first running of SF's famed 'Bay to Breakers' race (7.63 miles)
1,1,1934,Alcatraz officially becomes a Federal Prison.
1,1,1956,Sudan gains its independence
1,1,1958,European Economic Community (EEC) starts operation.
1,1,1971,Cigarette advertisements banned on TV
1,1,1984,AT & T broken up into 8 companies.
1,1,1986,Spain & Portugal become 11th & 12th members of Common Market
1,2,1776,first American revolutionary flag displayed.
1,2,1788,Georgia is 4th state to ratify US constitution
1,2,1893,World's Columbian Exposition opens in Chicago
1,2,1921,DeYoung Museum in San Francisco's Golden Gate Park opens.
1,2,1936,first electron tube describedSt LouisMissouri
1,2,1959,USSR launches Mechta1st lunar probe & artificial in solar orbit
1,2,1968,Dr Christian Barnard performs 1st successful heart transplant
1,2,1972,Mariner 9 begins mapping Mars
1,3,1521,Martin Luther excommunicated by Roman Catholic Church
1,3,1777,Washington defeats British at Battle of PrincetonNJ
1,3,1852,First Chinese arrive in Hawaii.
1,3,1870,Brooklyn Bridge beguncompleted on May 241883
1,3,1888,1st drinking straw is patented.
1,3,1957,first electric watch introducedLancaster Pennsylvania
1,3,1959,Alaska becomes the 49th state.
1,3,1977,Apple Computer incorporated.
1,4,1754,Columbia University openes
1,4,1784,US treaty with Great Britain is ratified
1,4,1790,President Washington delivers first 'State of the Union' speech.
1,4,1896,Utah becomes 45th state
1,4,1948,Burma gains independence from Britain (National Day)
1,4,1959,Soviet Luna 1 first craft to leave Earth's gravity
1,4,1982,Golden Gate Bridge closed for the 3rd time by fierce storm.
1,5,1809,Treaty of Dardanelles was concluded between Britain & France
1,5,1911,San Francisco has its first official airplane race.
1,5,1933,Work on Golden Gate Bridge beginson Marin County side.
1,5,1969,USSR Venera 5 launched.  1st successful planet landing - Venus
1,5,1972,NASA announces development of Space Shuttle
1,5,1975,Salyut 4 with crew of 2 is launched for 30 days
1,6,1663,Great earthquake in New England
1,6,1838,first public demonstration of telegraphby Samuel F. B. Morse
1,6,1914,Stock brokerage firm of Merrill Lynch founded.
1,6,1941,FDR names 4 freedoms (speechreligion; from wantfrom fear)
1,6,1942,first around world flight by Pan Am 'Pacific Clipper'
1,7,1558,Calaislast English possession in Franceretaken by French
1,7,1610,Galileo discovers 1st 3 moons of JupiterIoEuropa & Ganymede
1,7,1714,The typewriter is patented (it was built years later)
1,7,1785,1st balloon flight across the English Channel.
1,7,1822,Liberia colonized by Americans
1,7,1929,'Tarzan'one of the first adventure comic strips appears.
1,7,1963,First Class postage raised from 4 cents to 5 cents.
1,7,1968,First Class postage raised from 5 cents to 6 cents.
1,8,1815,Battle of New Orleansmade a hero out of Andrew Jackson (the War of 1812 had ended on 12/24/1814but nobody knew that).
1,8,1880,The passing of Norton IEmperor of the USProtector of Mexico
1,8,1932,Ratification of present San Francisco City Charter.
1,8,1935,Spectrophotometer patentedby AC Hardy
1,8,1958,Cuban revolutionary forces capture Havana
1,8,1968,US Surveyor 7 lands near crater Tycho on moon
1,8,1973,USSR launches Luna 21 for moon landing
1,9,1788,Conneticut becomes 5th state
1,9,1793,Jean Pierre Blanchard makes 1st balloon flight in North America
1,9,1799,1st income tax imposedin England.
1,9,1839,Thomas Henderson measures 1st stellar parallax Alpha Centauri
1,9,1839,The daguerrotype process announced at French Academy of Science
1,9,1843,Caroline Herschel'1st lady of astronomy,' dies at 98 in Germany
1,9,1847,first San Francisco paper'California Star'published.
1,9,1978,Commonwealth of Northern Marianas established
1,9,1982,5.9 earthquake in New England/Canada; last one was in 1855.
1,10,1776,'Common Sense' by Thomas Paine is published.
1,10,1840,The Penny Post mail system is started.
1,10,1863,1st underground railway opens in London.
1,10,1945,Los Angeles Railway (with 5 streetcar lines) forced to close.
1,10,1946,UN General Assembly meets for first time
1,10,1946,US Army establishes first radar contact with moon.  It's there.
1,10,1949,first Jewish family show - The Goldberg's begin
1,10,1951,first jet passenger trip made
1,10,1969,USSR's Venera 6 launched for parachute landing on Venus
1,10,1978,Soyuz 27 is launched
1,11,1642,Isaac Newton is elected a member of Royal Society
1,11,1787,Titania & Oberonmoons of Uranusdiscovered by William Herschel
1,11,1813,First pineapples planted in Hawaii.
1,11,1935,1st woman to fly solo across Pacific left HonoluluAE Putnam
1,11,1935,Amelia Earhart flies from Hawaii to Californianon-stop
1,11,1975,Soyuz 17 is launched
1,12,1777,Mission Santa Clara de Asis founded in California
1,12,1820,Royal Astronomical Societyfounded in England
1,12,1986,24th Space Shuttle Mission - Columbia 7 is launched
1,13,1610,Galileo Galilei discovers Callisto4th satellite of Jupiter
1,13,1630,Patent to Plymouth Colony issued
1,13,1854,Anthony Foss obtains patent for the Accordion.
1,13,1854,Anthony Foss obtains patent for accordion
1,13,1920,NY Times Editorial says rockets can never fly.
1,13,1930,Mickey Mouse comic strip first appears
1,13,1971,Apollo 14 launched (what was that about rockets can't fly??)
1,14,1784,Revolutionary War ends when Congress ratifies Treaty of Paris
1,14,1914,Henry Ford introduces the Assembly Line for his cars.
1,14,1936,L.M. 'Mario' Giannini elected president of Bank of America.
1,14,1939,All commercial ferry service to the East Bay ends.
1,14,1969,Soyuz 4 is launched
1,15,1535,Henry VIII declares himself head of English Church
1,15,1759,British Museum opens
1,15,1778,Nootka Sound discovered by Capt. Cook
1,15,1861,Steam elevator patented by Elisha Otis
1,15,1927,Dunbarton Bridge1st bridge in Bay Areaopens.
1,15,1948,World's largest office buildingThe Pentagonis completed.
1,15,1968,Soyuz 5 launched
1,16,1883,Pendleton Act creates basis of federal civil service system
1,16,1887,Cliff House badly damaged when a cargo of gunpowder on the schooner 'Parallel' explodes nearby.
1,16,1920,18th Amendmentprohibitiongoes into effect; repealed in 1933
1,16,1969,Soviet Soyuz 4 & Soyuz 5 perform 1st transfer of crew in space
1,16,1973,USSR's Lunakhod begins radio-controlled exploration of moon
1,16,1979,Iranian revolution overthrows shah.
1,16,1991,US led air forces begin raids on Iraq in response to Iraq's August 1990 takeover of Kuwait.
1,17,1773,Capt James Cook becomes 1st to cross Antarctic Circle (66� 33' S)
1,17,1852,British recognize independence of Transvaal (in South Africa)
1,17,1861,Flush toilet is patented by Mr. Thomas Crapper (Honest!!).
1,17,1871,1st Cable Car is patented by Andrew S. Hallidie.
1,17,1893,Kingdom of Hawaii becomes a republic.
1,17,1899,US takes possession of Wake Island in Pacific
1,17,1943,It was Tin Can Drive Day.
1,17,1945,Liberation Day in Poland (end of Nazi occupation)
1,17,1957,Nine county commission recommends creation of BART.
1,17,1963,Joe Walker takes X-15 to altitude of 82 km
1,17,1976,Hermes rocket launched by ESA
1,18,1644,1st UFO sighting in Americaby perplexed Pilgrims in Boston.
1,18,1778,Captain James Cook stumbles over the Hawaiian Islands.
1,18,1869,The elegant California Theatre opens in San Francisco.
1,18,1911,1st shipboard landing of a plane (from Tanforan Park to the USS Pennsylvania).
1,18,1919,Versailles Peace Conferenceending World War I
1,18,1956,Tunisian Revolution Day (National Day)
1,19,1903,1st regular transatlantic radio broadcast between US & England.
1,19,1921,Costa RicaGuatemalaHonduras & El Salvador sign Pact of Union
1,20,1265,1st English Parliamentcalled by the Earl of Leicester
1,20,1872,California Stock Exchange Board organized.
1,20,1887,Pearl Harbor obtained by US from Hawaii for use as a naval base
1,20,1929,1st talking motion picture taken outdoors 'In Old Arizona'
1,20,1937,Inauguration dayevery 4th year
1,20,1981,US embassy hostages freed in Tehran after 444 days.
1,21,1813,The pineapple is introduced to Hawaii.
